source,method,budget,coverage
co_edited,bfs_und,250,0.02832910431225038
co_edited,bfs_und,500,0.05759426798752641
co_edited,bfs_und,1000,0.11614506488101994
co_edited,bfs_und,2000,0.2148935853992034
co_edited,bfs_und,4000,0.3460451221687177
co_edited,bfs_und,8000,0.5104213618258562
co_edited,bfs_und,16000,0.6910203560484459
co_edited,bfs_und,32000,0.8346511530500295
co_edited,bm25_issue,250,0.02702587674497787
co_edited,bm25_issue,500,0.061831801157643855
co_edited,bm25_issue,1000,0.1471291972696467
co_edited,bm25_issue,2000,0.26137133777583216
co_edited,bm25_issue,4000,0.4147911701282488
co_edited,bm25_issue,8000,0.5738995087309694
co_edited,bm25_issue,16000,0.7323465392285617
co_edited,bm25_issue,32000,0.8715398365679264
co_edited,bm25_issue_pl,250,0.05158324821246169
co_edited,bm25_issue_pl,500,0.08907899216887981
co_edited,bm25_issue_pl,1000,0.14088720268495547
co_edited,bm25_issue_pl,2000,0.21714334354783793
co_edited,bm25_issue_pl,4000,0.32884259934821736
co_edited,bm25_issue_pl,8000,0.47391045284303707
co_edited,bm25_issue_pl,16000,0.6571546119298928
co_edited,bm25_issue_pl,32000,0.8182158665304733
co_edited,bm25_issue_rd,250,0.026515151515151512
co_edited,bm25_issue_rd,500,0.05970377936670072
co_edited,bm25_issue_rd,1000,0.14323491739222075
co_edited,bm25_issue_rd,2000,0.25714934254260097
co_edited,bm25_issue_rd,4000,0.409918000226989
co_edited,bm25_issue_rd,8000,0.5691874604795953
co_edited,bm25_issue_rd,16000,0.7294737098107885
co_edited,bm25_issue_rd,32000,0.8697948586993531
co_edited,bm25_issue_rdp,250,0.02702587674497787
co_edited,bm25_issue_rdp,500,0.05983997276132108
co_edited,bm25_issue_rdp,1000,0.14208578562511145
co_edited,bm25_issue_rdp,2000,0.2536593868054542
co_edited,bm25_issue_rdp,4000,0.40651316536147997
co_edited,bm25_issue_rdp,8000,0.5646760542827959
co_edited,bm25_issue_rdp,16000,0.7267893623230701
co_edited,bm25_issue_rdp,32000,0.8687734082397004
co_edited,bm25_issue_rds,250,0.024727613210759277
co_edited,bm25_issue_rds,500,0.053966632618318015
